End_Station Id,End_Station_Name,End_Latitude,End_Longitude
,,40.73698222,-74.02778059
HB105,City Hall - Washington St & 1 St,40.73736,-74.03097
HB201,12 St & Sinatra Dr N,40.750604,-74.02402
,,40.75060414,-74.02402014
,,40.75060414,-74.02402014
HB202,14 St Ferry - 14 St & Shipyard Ln,40.75296063,-74.02435273
,,40.75296063,-74.02435273
,,40.752961,-74.024353
HB203,Bloomfield St & 15 St,40.75453,-74.02658
HB301,4 St & Grand St,40.74225798,-74.03511107
,,40.74225798,-74.03511107
,,40.742258,-74.035111
HB302,6 St & Grand St,40.74439783,-74.03450087
,,40.74439783,-74.03450087
,,40.744398,-74.034501
HB303,Clinton St & 7 St,40.74542,-74.03332
HB304,7 St & Monroe St,40.74641265,-74.03797701
,,40.74641265,-74.03797701
,,40.746413,-74.037977
HB305,9 St HBLR - Jackson St & 8 St,40.747907,-74.038412
,,40.74790721,-74.03841153
,,40.74790721,-74.03841153
HB401,Southwest Park - Jackson St & Observer Hwy,40.737551,-74.041664
,,40.73755127,-74.04166371
,,40.73755127,-74.04166371
HB402,Madison St & 1 St,40.73879,-74.0393
HB404,Mama Johnson Field - 4 St & Jackson St,40.74313994,-74.04004097
,,40.74313994,-74.04004097
,,40.74314,-74.040041
HB407,Adams St & 2 St,40.73981372,-74.03690413
,,40.73981372,-74.03690413
,,40.739814,-74.036904
HB408,Marshall St & 2 St,40.740802,-74.042521
HB409,Clinton St & Newark St,40.73743,-74.03571
HB501,Columbus Park - Clinton St & 9 St,40.748161,-74.032453
,,40.74816121,-74.032453
,,40.74816121,-74.032453
HB502,11 St & Washington St,40.74998491,-74.02715027
,,40.74998491,-74.02715027
,,40.749985,-74.02715
HB503,Madison St & 10 St,40.749943,-74.035865
,,40.74994325,-74.03586477
,,40.74994325,-74.03586477
HB505,Willow Ave & 12 St,40.751867,-74.030377
,,40.75186748,-74.03037697
,,40.75186748,-74.03037697
HB506,Grand St & 14 St,40.75409,-74.0316
HB507,Adams St & 11 St,40.75091553,-74.03354064
,,40.75091554,-74.03354064
,,40.750916,-74.033541
HB601,Church Sq Park - 5 St & Park Ave,40.742659,-74.032233
,,40.74265933,-74.03223306
,,40.74265933,-74.03223306
HB602,Stevens - River Ter & 6 St,40.74313283,-74.02698867
,,40.74313283,-74.02698867
,,40.743133,-74.026989
HB603,8 St & Washington St,40.74598388,-74.02819902
,,40.74598388,-74.02819902
,,40.745984,-74.028199
HB607,Hudson St & 4 St,40.74097261,-74.02860336
,,40.74097261,-74.02860336
,,40.740973,-74.028603
HB608,2 St & Park Ave,40.73915273,-74.03308198
,,40.739153,-74.033082
JC002,Paulus Hook,40.714145,-74.033552
,,40.7141454,-74.0335519
JC003,City Hall,40.7177325,-74.043845
,,40.717733,-74.043845
JC005,Grove St PATH,40.719586,-74.043117
,,40.71958612,-74.04311746
,,40.71958612,-74.04311746
JC006,Warren St,40.7211236,-74.03805095
,,40.721124,-74.038051
JC008,Newport Pkwy,40.7287448,-74.0321082
,,40.728745,-74.032108
JC009,Hamilton Park,40.72759597,-74.04424731
,,40.72759597,-74.04424731
,,40.727596,-74.044247
JC011,JC Medical Center,40.71653978,-74.04963791
,,40.71653978,-74.04963791
,,40.71654,-74.049638
JC013,Marin Light Rail,40.714584,-74.042817
,,40.71458404,-74.04281706
,,40.71458404,-74.04281706
JC014,Columbus Drive,40.718355,-74.038914
,,40.7183552,-74.03891444
,,40.7183552,-74.03891444
JC018,5 Corners Library,40.734961,-74.059503
,,40.73496102,-74.05950308
,,40.73496102,-74.05950308
JC019,Hilltop,40.7311689,-74.0575736
,,40.731169,-74.057574
JC020,Baldwin at Montgomery,40.7236589,-74.0641943
,,40.723659,-74.064194
JC022,Oakland Ave,40.7376037,-74.0524783
,,40.737604,-74.052478
JC023,Brunswick St,40.7241765,-74.0506564
